,English Name,French Name,FAA
0,Atlantic Pilotage Authority,Administration de pilotage de l’Atlantique,3
1,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",3
2,Business Development Bank of Canada,Banque de développement du Canada,3
3,Canada Deposit Insurance Corporation,Société d’assurance-dépôts du Canada,3
4,Canada Infrastructure Bank,Banque de l’infrastructure du Canada,3
5,Canada Lands Company Limited,Société immobilière du Canada Limitée,3
6,Canada Mortgage and Housing Corporation,Société canadienne d’hypothèques et de logement,3
7,Canada Post Corporation,Société canadienne des postes,3
8,Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien,3
9,Canadian Commercial Corporation,Corporation commerciale canadienne,3
10,Canadian Dairy Commission,Commission canadienne du lait,3
11,Canadian Museum for Human Rights,Musée canadien des droits de la personne,3
12,Canadian Museum of History,Musée canadien de l’histoire,3
13,Canadian Museum of Immigration at Pier 21,Musée canadien de l’immigration du Quai 21,3
14,Canadian Museum of Nature,Musée canadien de la nature,3
15,Canadian Tourism Commission,Commission canadienne du tourisme,3
16,Defence Construction (1951) Limited,Construction de défense (1951) Limitée,3
17,Export Development Canada,Exportation et développement Canada,3
18,Farm Credit Canada,Financement agricole Canada,3
19,The Federal Bridge Corporation Limited,La Société des ponts fédéraux Limitée,3
20,Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d’eau douce,3
21,Great Lakes Pilotage Authority,Administration de pilotage des Grands Lacs,3
22,The Jacques-Cartier and Champlain Bridges Inc.,Les Ponts Jacques-Cartier et Champlain Inc.,3
23,Laurentian Pilotage Authority,Administration de pilotage des Laurentides,3
24,Marine Atlantic Inc.,Marine Atlantique S.C.C.,3
25,National Capital Commission,Commission de la capitale nationale,3
26,National Gallery of Canada,Musée des beaux-arts du Canada,3
27,National Museum of Science and Technology,Musée national des sciences et de la technologie,3
28,Pacific Pilotage Authority,Administration de pilotage du Pacifique,3
29,Standards Council of Canada,Conseil canadien des normes,3
30,VIA Rail Canada Inc.,VIA Rail Canada Inc.,3
31,Windsor-Detroit Bridge Authority,Autorité du pont Windsor-Détroit,3
